Country,Region,City,Organization,Room,URL
AD,,Andorra,Andorra Quest Room,Capture the Smugglers,http://www.andorraquestroom.com/
AD,,Andorra,Toca el dos,Toca el dos,https://www.facebook.com/tocaeldos/
AE,,Dubai,Brainscape Games,Da Vinci Room,http://www.brainscapegames.com/
AE,,Dubai,Brainscape Games,Classic Lounge Room,http://www.brainscapegames.com/
AE,,Dubai,Challenge Chambers,The Escape Challenge,http://www.challengechambers.com/
AE,,Dubai,Challenge Chambers,The 13th Victim,http://www.challengechambers.com/
AE,,Dubai,Challenge Chambers,The Mystery Challenge,http://www.challengechambers.com/
AE,,Dubai,Challenge Chambers,Trapped,http://www.challengechambers.com/
AE,,Dubai,Escape Quest,The Explorers Library,http://www.escapequest.ae/
AE,,Dubai,Escape Reality Dubai,Jungala,http://www.escapereality.com/
AE,,Dubai,Escape Reality Dubai,Enigmista,http://www.escapereality.com/
AE,,Dubai,Escape Reality Dubai,Alcatraz,http://www.escapereality.com/
AE,,Dubai,Escape Reality Dubai,The Iron Kingdom,http://www.escapereality.com/
AE,,Dubai,Escape Reality Dubai,Machina,http://www.escapereality.com/
AE,,Dubai,Escape Reality Dubai,Fibonacci,http://www.escapereality.com/
AE,,Dubai,Escape Reality Dubai,Nosferatu,http://www.escapereality.com/
AE,,Dubai,Escape Reality Dubai,Apocalypse,http://www.escapereality.com/
AE,,Dubai,HintHunt,JM's Office,http://hinthunt.ae/
AL,,Tirana,Escape Room,Saw,http://www.escaperoomal.com/
AL,,Tirana,Escape Room,The Basement,http://www.escaperoomal.com/
AL,,Tirana,Escape Room,Bank Heist,http://www.escaperoomal.com/
AL,,Tirana,Escape Room,Science Lab,http://www.escaperoomal.com/
AL,,Tirana,Escape Room,Communist Dictatorship,http://www.escaperoomal.com/
AM,,Yerevan,Quest Room,Room 33,http://questroom.am/
AR,,Bariloche,Escape Room Bariloche,The Laboratory of Dr. Boeiro,http://www.escaperoombariloche.com/
AR,,Buenos Aires,Enter the Exit,The Pharaoh and the Was Scepter,http://www.entertheexit.com.ar/
AR,,Buenos Aires,Enter the Exit,DEFCON Soviet,http://www.entertheexit.com.ar/
AR,,Buenos Aires,Escape Demente,La Planta Nuclear,http://www.escapedemente.com/
AR,,Buenos Aires,Escape Games,¿Que paso ayer?,http://www.escapegames.com.ar/
AR,,Buenos Aires,Escape Games,La Herencia del Tío Luis,http://www.escapegames.com.ar/
AR,,Buenos Aires,Escape Games,La biblioteca de Nebirus,http://www.escapegames.com.ar/
AR,,Buenos Aires,Eureka,Eureka,http://eurekaleg.com.ar/
AR,,Buenos Aires,Mision Imposible,Alcatraz la fuga,http://www.misionimposible.com.ar/
AR,,Buenos Aires,Mision Imposible,La tercera guerra mundial nuclear,http://www.misionimposible.com.ar/
AR,,Buenos Aires,Sali del Molde,Labortorio z,http://www.salidelmolde.com.ar/
AR,,Buenos Aires,Sali del Molde,Escape en el tiempo,http://www.salidelmolde.com.ar/
AR,,Buenos Aires,Sali del Molde,Atrapados en el refugio,http://www.salidelmolde.com.ar/
AT,,Innsbruck,PerplexxX,The Golden Roof,http://perplexxx.at/en/
AT,,Linz,Masters of Escape Linz,Wudang Shan - Mountain of the Kung Fu Masters,http://www.mastersofescape.at/
AT,,Salzburg,Scavenger Escape Salzburg,Egyptian Adventure,http://scavengerescape.com/salzburg/en/
AT,,Salzburg,Scavenger Escape Salzburg,Secret Surgery,http://scavengerescape.com/salzburg/en/
AT,,Salzburg,Scavenger Escape Salzburg,Mozart's Mystery,http://scavengerescape.com/salzburg/en/
AT,,Tyrol,Wilder Kaiser,Bunker,http://wilderkaiser.roomescape.at/
AT,,Tyrol,Wilder Kaiser,Prison,http://wilderkaiser.roomescape.at/
AT,,Vienna,Adventure Rooms,The Original,http://www.adventurerooms.at/
AT,,Vienna,Adventure Rooms,The Black Queen,http://www.adventurerooms.at/
AT,,Vienna,Crime Runners,Crime Runners,http://www.crimerunners.at/
AT,,Vienna,Crime Runners,The Dark Secret of the Congressman,http://www.crimerunners.at/
AT,,Vienna,Crime Runners,Crime Scene Back Alley,http://www.crimerunners.at/
AT,,Vienna,Escapology Vienna,Tomb of Tutankhamun,http://www.escapology.at/
AT,,Vienna,Escapology Vienna,Free Lili,http://www.escapology.at/
AT,,Vienna,Exit the Room,Madness,http://www.exittheroom.com/madness
AT,,Vienna,Exit the Room,Mind Boggling,http://www.exittheroom.com/mind-boggling
AT,,Vienna,Exit the Room,The Bomb,http://www.exittheroom.com/the-bomb
AT,,Vienna,Exodus,Monk's Secret,http://www.exodus-vienna.com/
AT,,Vienna,HintHunt,Submarines,http://www.hinthunt.com/
AT,,Vienna,Live:Krimi,Verschollen,http://www.live-krimi.at/
AT,,Vienna,Live:Krimi,Geheimes Lager,http://www.live-krimi.at/
AT,,Vienna,Live:Krimi,Bombenalarm,http://www.live-krimi.at/
AT,,Vienna,Live:Krimi,Mission Vienna,http://www.live-krimi.at/
AT,,Vienna,Live:Krimi,Diva des Todes,http://www.live-krimi.at/
AT,,Vienna,Mystoria,Revenge of the Don,http://mystoria.at/
AT,,Vienna,Mystoria,Mad Professor,http://mystoria.at/
AT,,Vienna,Mystoria,Dark Space,http://mystoria.at/
AT,,Vienna,Open the Door,Illusion Room,http://www.openthedoor.at/
AT,,Vienna,Open the Door,Torture Chamber,http://www.openthedoor.at/
AT,,Vienna,Parapark,Experiment Nr 5,http://parapark.at/index.php?page=start
AT,,Vienna,Parapark,Crime Scene '95,http://parapark.at/index.php?page=start
AT,,Vienna,Room Escape Wien,Vienna Central Bank,https://roomescape.at/main/index
AT,,Vienna,Room Escape Wien,Bunker,https://roomescape.at/main/index
AT,,Vienna,SherLockd,Holmes,http://www.sherlockd.at/
AT,,Vienna,SherLockd,Sherlock&Watson,http://www.sherlockd.at/
AT,,Vienna,SherLockd,Baker Street 221/b,http://www.sherlockd.at/
AT,,Vienna,Smart Rooms,Secrets of da Vinci,http://www.smartrooms.at/
AT,,Vienna,Time Busters,Control Chamber,http://www.time-busters.at/en/missions/control-chamber/
AT,,Vienna,Time Busters,Temple,http://www.time-busters.at/en/missions/temple/
AT,,Vienna,Time Busters,The Vault,http://www.time-busters.at/en/missions/vault/
AT,,,,Two Bears' Life,http://twobearslife.com/
AU,Australian Capital Territory,Canberra,Expedition Escape Rooms,Da Vinci's Secrets,http://www.expeditionescaperooms.com/
AU,Australian Capital Territory,Canberra,Expedition Escape Rooms,Mission: Identity,http://www.expeditionescaperooms.com/
AU,Australian Capital Territory,Canberra,Expedition Escape Rooms,The Candy Shop,http://www.expeditionescaperooms.com/
AU,Australian Capital Territory,Canberra,Riddle Room,The Nightmare,http://riddleroom.com.au/
AU,Australian Capital Territory,Canberra,Riddle Room,The Dungeon,http://riddleroom.com.au/
AU,Australian Capital Territory,Canberra,Riddle Room,The Bomb Defusal,http://riddleroom.com.au/
AU,New South Wales,Hunter Valley,Sutton Estate,Wine Escape Room,http://www.suttonestatehuntervalley.com/
AU,New South Wales,Parramatta,Labyrinth Escape Rooms,Insane Asylum,http://www.labyrinthescaperooms.com.au/
AU,New South Wales,Parramatta,Labyrinth Escape Rooms,Mad Scientist,http://www.labyrinthescaperooms.com.au/
AU,New South Wales,Sydney,Clock-Locked,Da Vinci,http://clocklocked.com.au/
AU,New South Wales,Sydney,Clock-Locked,Dexter,http://clocklocked.com.au/
AU,New South Wales,Sydney,Escape Club,Ghost Maze,http://roomescape.com.au/
AU,New South Wales,Sydney,Escape Club,Tomb Raider,http://roomescape.com.au/
AU,New South Wales,Sydney,Escape Club,Virus,http://roomescape.com.au/
AU,New South Wales,Sydney,Escape Club,07th November,http://roomescape.com.au/
AU,New South Wales,Sydney,Escape Club,Prison Break,http://roomescape.com.au/
AU,New South Wales,Sydney,Escape Club,The Curse of Hogwarts,http://roomescape.com.au/
AU,New South Wales,Sydney,Escape Hunt,Robbery in the Cottage,http://sydney.escapehunt.com/
AU,New South Wales,Sydney,Escape Hunt,Extortion in the Dockyard,http://sydney.escapehunt.com/
AU,New South Wales,Sydney,Escape Hunt,Murder in the Pub,http://sydney.escapehunt.com/
AU,New South Wales,Sydney,Mission Sydney,Vampire Castle,http://www.missionsydney.com/
AU,New South Wales,Sydney,Mission Sydney,Dr. M,http://www.missionsydney.com/
AU,New South Wales,Sydney,Mission Sydney,Vampire Castle,http://www.missionsydney.com/
AU,New South Wales,Sydney,Mission Sydney,Dr. M,http://www.missionsydney.com/
AU,New South Wales,Sydney,Mission Sydney,The Lost Mine,http://www.missionsydney.com/
AU,New South Wales,Sydney,Mission Sydney,The Last Order,http://www.missionsydney.com/
AU,New South Wales,Sydney,Next Level Escape,Blitz Room,http://nextlevelescape.com.au/
AU,New South Wales,Sydney,Next Level Escape,Ex Libris,http://nextlevelescape.com.au/
AU,New South Wales,Sydney,Next Level Escape,The Artefact,http://nextlevelescape.com.au/
AU,New South Wales,Sydney,PanIQ Room,Abandoned Military Bunker on The Rocks,http://www.paniqroom.com.au/
AU,New South Wales,Sydney,PanIQ Room,Supercell 117,http://www.paniqroom.com.au/
