"Country","Region","City","Organization","Room","URL","Address","Lat","Lng","GmapsName","GmapsId","GmapsPlaceId"
"AD","","Andorra","Andorra Quest Room","Capture the Smugglers","http://www.andorraquestroom.com/","Carrer l'Alzineret 16, AD500 Andorra la Vella, Andorra",42.508444,1.5207689,"Andorra Quest Room","ebc36be68278ec709d0e2f568b1d279852e137ab","ChIJw5B9zSz1pRIRa3YR8WIQGgw"
"AD","","Andorra","Toca el dos","Toca el dos","https://www.facebook.com/tocaeldos/","Av. del Pessebre, 46, AD700 Escaldes-Engordany, Andorra",42.5127336,1.5384471,"Toca el dos Escape Room","4bc3387d2d9b077936764a8bb44d26eb5cbd977e","ChIJHRCl6MKKpRIRbS-YDQIK-fE"
"AE","","Dubai","Brainscape Games","Da Vinci Room","http://www.brainscapegames.com/","Building12, District, Unit - 203 7 A St - Dubai - United Arab Emirates",25.186149,55.281181,"Brainscape Games","8717ae4c71e44ad4a345233bd1f0fee4437ec8e8","ChIJy6qqZjBoXz4RvZGV_pXbufQ"
"AE","","Dubai","Brainscape Games","Classic Lounge Room","http://www.brainscapegames.com/","Building12, District, Unit - 203 7 A St - Dubai - United Arab Emirates",25.186149,55.281181,"Brainscape Games","8717ae4c71e44ad4a345233bd1f0fee4437ec8e8","ChIJy6qqZjBoXz4RvZGV_pXbufQ"
"AE","","Dubai","Challenge Chambers","The Escape Challenge","http://www.challengechambers.com/","25.184484, 55.226749 - United Arab Emirates",25.184484,55.226749,"Challenge Chambers","888898d75c2ac0154abae45c30fd4395bf67fa09","ChIJEQY3EABCXz4RTPRRjZBURdw"
"AE","","Dubai","Challenge Chambers","The 13th Victim","http://www.challengechambers.com/","25.184484, 55.226749 - United Arab Emirates",25.184484,55.226749,"Challenge Chambers","888898d75c2ac0154abae45c30fd4395bf67fa09","ChIJEQY3EABCXz4RTPRRjZBURdw"
"AE","","Dubai","Challenge Chambers","The Mystery Challenge","http://www.challengechambers.com/","25.184484, 55.226749 - United Arab Emirates",25.184484,55.226749,"Challenge Chambers","888898d75c2ac0154abae45c30fd4395bf67fa09","ChIJEQY3EABCXz4RTPRRjZBURdw"
"AE","","Dubai","Challenge Chambers","Trapped","http://www.challengechambers.com/","25.184484, 55.226749 - United Arab Emirates",25.184484,55.226749,"Challenge Chambers","888898d75c2ac0154abae45c30fd4395bf67fa09","ChIJEQY3EABCXz4RTPRRjZBURdw"
"AE","","Dubai","Escape Quest","The Explorers Library","http://www.escapequest.ae/","HDS Business Centre - Dubai - United Arab Emirates",25.0642202,55.13818699999999,"Escape Quest","5efa22dfc23d767018efaa30f9106dc467191ca7","ChIJ__-_KLNsXz4RqRpjjlTWIlQ"
"AE","","Dubai","Escape Reality Dubai","Jungala","http://www.escapereality.com/","Indigo Sky, 1st Floor, Next to First Gulf Bank Metro Station - Sheikh Zayed Road - Dubai - United Arab Emirates",25.1266354,55.2060918,"Escape Reality","32aef07b9e608b40949f38b14acd87ab104ac1d4","ChIJx4D0eMhrXz4RJa_oWUeJlxU"
"AE","","Dubai","Escape Reality Dubai","Enigmista","http://www.escapereality.com/","Indigo Sky, 1st Floor, Next to First Gulf Bank Metro Station - Sheikh Zayed Road - Dubai - United Arab Emirates",25.1266354,55.2060918,"Escape Reality","32aef07b9e608b40949f38b14acd87ab104ac1d4","ChIJx4D0eMhrXz4RJa_oWUeJlxU"
"AE","","Dubai","Escape Reality Dubai","Alcatraz","http://www.escapereality.com/","Indigo Sky, 1st Floor, Next to First Gulf Bank Metro Station - Sheikh Zayed Road - Dubai - United Arab Emirates",25.1266354,55.2060918,"Escape Reality","32aef07b9e608b40949f38b14acd87ab104ac1d4","ChIJx4D0eMhrXz4RJa_oWUeJlxU"
"AE","","Dubai","Escape Reality Dubai","The Iron Kingdom","http://www.escapereality.com/","Indigo Sky, 1st Floor, Next to First Gulf Bank Metro Station - Sheikh Zayed Road - Dubai - United Arab Emirates",25.1266354,55.2060918,"Escape Reality","32aef07b9e608b40949f38b14acd87ab104ac1d4","ChIJx4D0eMhrXz4RJa_oWUeJlxU"
"AE","","Dubai","Escape Reality Dubai","Machina","http://www.escapereality.com/","Indigo Sky, 1st Floor, Next to First Gulf Bank Metro Station - Sheikh Zayed Road - Dubai - United Arab Emirates",25.1266354,55.2060918,"Escape Reality","32aef07b9e608b40949f38b14acd87ab104ac1d4","ChIJx4D0eMhrXz4RJa_oWUeJlxU"
"AE","","Dubai","Escape Reality Dubai","Fibonacci","http://www.escapereality.com/","Indigo Sky, 1st Floor, Next to First Gulf Bank Metro Station - Sheikh Zayed Road - Dubai - United Arab Emirates",25.1266354,55.2060918,"Escape Reality","32aef07b9e608b40949f38b14acd87ab104ac1d4","ChIJx4D0eMhrXz4RJa_oWUeJlxU"
"AE","","Dubai","Escape Reality Dubai","Nosferatu","http://www.escapereality.com/","Indigo Sky, 1st Floor, Next to First Gulf Bank Metro Station - Sheikh Zayed Road - Dubai - United Arab Emirates",25.1266354,55.2060918,"Escape Reality","32aef07b9e608b40949f38b14acd87ab104ac1d4","ChIJx4D0eMhrXz4RJa_oWUeJlxU"
"AE","","Dubai","Escape Reality Dubai","Apocalypse","http://www.escapereality.com/","Indigo Sky, 1st Floor, Next to First Gulf Bank Metro Station - Sheikh Zayed Road - Dubai - United Arab Emirates",25.1266354,55.2060918,"Escape Reality","32aef07b9e608b40949f38b14acd87ab104ac1d4","ChIJx4D0eMhrXz4RJa_oWUeJlxU"
"AE","","Dubai","HintHunt","JM's Office","http://hinthunt.ae/","Times Square Center, ﬁrst ﬂoor, shop F13, Sheikh Zayed Road - Dubai - United Arab Emirates",25.1394373,55.2198791,"HintHunt","cd84b3beef0bf1b5c3649b06866c6583fb3c08c0","ChIJnRMhRdNrXz4R8W1nOecIwrE"
"AL","","Tirana","Escape Room","Saw","http://www.escaperoomal.com/","Don Bosco, Tirana, Albania",41.3347865,19.8058605,"Escape Room Tirana","ed075afa2c3cea60303a254631ebfba284c96eea","ChIJnYACs6AxUBMR8U7vn1daFro"
"AL","","Tirana","Escape Room","The Basement","http://www.escaperoomal.com/","Don Bosco, Tirana, Albania",41.3347865,19.8058605,"Escape Room Tirana","ed075afa2c3cea60303a254631ebfba284c96eea","ChIJnYACs6AxUBMR8U7vn1daFro"
"AL","","Tirana","Escape Room","Bank Heist","http://www.escaperoomal.com/","Don Bosco, Tirana, Albania",41.3347865,19.8058605,"Escape Room Tirana","ed075afa2c3cea60303a254631ebfba284c96eea","ChIJnYACs6AxUBMR8U7vn1daFro"
"AL","","Tirana","Escape Room","Science Lab","http://www.escaperoomal.com/","Don Bosco, Tirana, Albania",41.3347865,19.8058605,"Escape Room Tirana","ed075afa2c3cea60303a254631ebfba284c96eea","ChIJnYACs6AxUBMR8U7vn1daFro"
"AL","","Tirana","Escape Room","Communist Dictatorship","http://www.escaperoomal.com/","Don Bosco, Tirana, Albania",41.3347865,19.8058605,"Escape Room Tirana","ed075afa2c3cea60303a254631ebfba284c96eea","ChIJnYACs6AxUBMR8U7vn1daFro"
"AM","","Yerevan","Quest Room","Room 33","http://questroom.am/","57 Teryan Street, Yerevan, Armenia, Տերյան 57, 8 տար., Yerevan 0009, Armenia",40.18547,44.517247,"QuestRoom Yerevan","a14b51aa95b8504e4d67dd121bb410222a86eff9","ChIJBaDx1OO8akARCDJRrNQuXY4"
"AR","","Bariloche","Escape Room Bariloche","The Laboratory of Dr. Boeiro","http://www.escaperoombariloche.com/","San Martín 64, San Carlos de Bariloche, Río Negro, Argentina",-41.1345168,-71.3108072,"Room Escape Bariloche","29ac7c60124fbb2e6d7571eed45c54516b84cbf9","ChIJFanYtXJ7GpYRPpnf6B3lO8E"
"AR","","Buenos Aires","Enter the Exit","The Pharaoh and the Was Scepter","http://www.entertheexit.com.ar/","French 2981, Buenos Aires, Argentina",-34.5873686,-58.405165,"Enter The Exit - Escape Games","9badd23acf94344b9e3e6d321eb232ba4b670950","ChIJxVSj2pzKvJURg8U-KeIp0YA"
